Employer,total_approvals,states,cities,zip_codes
DATA CONCEPTS LLC,18,VA,GLEN ALLEN,23060.0
DATA CONSULTANTS CORPORATION,5,IL,AURORA,60504.0
DATA CULTURE COMPANIES INC,1,NY,BROOKLYN,11225.0
DATA DOMAIN LLC,16,TX,ROUND ROCK,78682.0
DATA DRIVEN DETROIT L3C,1,MI,DETROIT,48202.0
DATA DRIVEN SAFETY LLC,1,NC,HUNTERSVILLE,28078.0
DATA DUCTUS INC,5,CO,LONGMONT,80501.0
DATA DYNAMICS INC,1,TX,HOUSTON,77042.0
DATA DYNAMICS SYSTEMS INC,1,GA,ATLANTA,30341.0
DATA EXCHANGE CORPORATION DBA DEX,4,CA,CAMARILLO,93012.0
DATA EXCHANGE CORPORATION DEX,3,CA,CAMARILLO,93012.0
DATA GLOVE INC,1,NJ,PRINCETON,8540.0
DATA GLOVE INC DBA TRIMAX AMERICAS,3,NJ,PRINCETON,8540.0
DATA INC,43,NJ,MONTVALE,7645.0
DATA INNOVATIONS LLC,2,VT,COLCHESTER,5446.0
DATA INTEGRITY SERVICES INC,1,TX,ALLEN,75002.0
DATA INTELLIGENCE IT,2,CA,RANCHO CORDOVA,95742.0
DATA INTELLIGENCE-IT,1,CA,RANCHO CORDOVA,95742.0
DATA INTENSITY LLC,2,KY,COVINGTON,41011.0
DATA MANAGEMENT SERVICES INC,1,MD,SILVER SPRING,20910.0
DATA MIGRATION RESOURCES INC,2,KS,MISSION,66202.0
DATA PANEL ACQUISITION CORPORATION,1,MN,MINNEAPOLIS,55441.0
DATA PHYSICS AQUISITION CORP,1,CA,SAN JOSE,95131.0
DATA PIONEER INC,2,NY,NEW YORK,10038.0
DATA S SOLUTIONS LLC,26,NJ,EDISON,8817.0
DATA SAFEGUARD INC,1,CA,SANTA CLARA,95054.0
DATA SCIENCE DOJO LLC,1,WA,REDMOND,98052.0
DATA SCIENCE DOJO LLC DBA DATA SCI,4,WA,REDMOND,98052.0
DATA SCIENCE TECHNOLOGIES LLC,30,VT,RUTLAND,5701.0
DATA SCIENCES INTERNATIONAL INC,1,MN,SAINT PAUL,55112.0
DATA SOLUTIONS INC,20,MI,WIXOM,48393.0
DATA SOLUTIONS LLC,1,NY,BRONX,10463.0
DATA STORAGE RESEARCH LLC D/B/A DS,1,CO,LAKEWOOD,80228.0
DATA STRATEGIES INTERCHANGE LLC,4,TX,HOUSTON,77084.0
DATA SUPPORT LLC,2,TX,IRVING,75062.0
DATA SYS IT INC,22,TX,GRAPEVINE,76051.0
DATA SYSTEMS INTEGRATION GROUP INC,7,OH,DUBLIN,43017.0
DATA SYSTEMS INTERNATIONAL INC,2,MO,KANSAS CITY,64116.0
DATA THEOREM INC,2,CA,PALO ALTO,94306.0
DATA WAREHOUSE CONSULTANTS LLC,1,PA,SEWICKLEY,15143.0
DATA WAREHOUSE LABS INC,23,NJ,SOUTH PLAINFIELD,7080.0
DATA WAVE TECHNOLOGIES INC,1,NJ,PARSIPPANY,7054.0
DATA-CORE SYSTEMS INC,4,PA,PHILADELPHIA,19102.0
DATA2AI LLC,1,WI,MIDDLETON,53562.0
DATAART SOLUTIONS INC,5,NY,NEW YORK,10016.0
DATABANK HOLDINGS LTD,1,TX,DALLAS,75202.0
DATABASE MART LLC,1,TX,LEAGUE CITY,77573.0
DATABASED INC,1,UT,LEHI,84043.0
DATABENTO INC,1,MA,BOSTON,2110.0
DATABENTO INC.,1,NV,HENDERSON,89014.0
DATABLOOM LLC,9,TX,AUSTIN,78717.0
DATABOOK LABS INC,1,CA,PALO ALTO,94301.0
DATABRICKS INC,68,CA,SAN FRANCISCO,94105.0
DATABUOY CORPORATION,1,VA,VIENNA,22182.0
DATACAMP INC,2,NY,NEW YORK,10007.0
DATACATALYST LLC,1,NY,NEW YORK,10036.0
DATACEBO INC,1,MA,BOSTON,2116.0
DATACEUTICS INC,2,PA,POTTSTOWN,19464.0
DATACHAT INC,10,WI,MADISON,53715.0
DATACHIT INC,1,TX,FRISCO,75034.0
DATACORAL INC,3,CA,SAN FRANCISCO,94107.0
DATACORE SOFTWARE CORP,5,FL,FORT LAUDERDALE,33309.0
DATACORE SOFTWARE CORPORATION,5,FL,FT LAUDERDALE,33309.0
DATACUBE TECHNOLOGIES INC,1,VA,RESTON,20190.0
DATACUBES INC,4,IL,SCHAUMBURG,60173.0
DATAD SOLUTIONS INC,19,TX,ROUND ROCK,78664.0
DATAD SOLUTIONS INC D/B/A AUSTIN CONSULTING AND RESOURCE MANAGEMENT ACRM,2,TX,ROUND ROCK,78664.0
DATADIGM LLC,1,WA,SAMMAMISH,98075.0
DATADOCK SOLUTIONS INC,1,NY,NEW YORK,10018.0
DATADOG INC,19,NY,NEW YORK,10018.0
DATADRIVE LLC,3,MN,ST LOUIS PARK,55416.0
DATADUX INC,5,TX,RICHARDSON,75081.0
DATAECONOMY INC,19,OH,DUBLIN,43017.0
DATAEDGE CONSULTING INC,14,NJ,PLAINSBORO,8536.0
DATAEDGE INC,141,IL,ITASCA,60143.0
DATAEXON LLC,3,VA,ASHBURN,20147.0
DATAFACTZ LLC,9,MI,NORTHVILLE,48167.0
DATAFLIX INC,3,CA,SANTA CLARA,95054.0
DATAFORENSICS LLC,1,GA,ATLANTA,30345.0
DATAFORMA INC,2,PA,YORK,17401.0
DATAFORMIX TECHNOLOGIES INC,16,NJ,PLAINSBORO,8536.0
DATAGRAIL INC,1,CA,SAN FRANCISCO,94107.0
DATAGRID SYSTEMS INC D/B/A OPSANI,2,CA,REDWOOD CITY,94063.0
DATAGUISE INC,6,CA,FREMONT,94538.0
DATAHOUSE CONSULTING INC,1,HI,HONOLULU,96814.0
DATAINFOCOM USA INC,3,TX,AUSTIN,78730.0
DATAINFOCOM USA INC DBA AYATA,1,TX,AUSTIN,78730.0
DATAJOIN INC,1,UT,OREM,84057.0
DATAKARE SOLUTIONS LLC,1,GA,ALPHARETTA,30004.0
DATAKITCHEN INC,13,MA,CAMBRIDGE,2142.0
DATAKWIP HOLDINGS LLC,1,MD,FREDERICK,21701.0
DATALAB USA LLC,3,MD,GERMANTOWN,20876.0
DATALEADS TECHNOLOGY SERVICES LLC,4,MO,CHESTERFIELD,63005.0
DATALEGO INC.,1,CA,SAN FRANCISCO,94107.0
DATALOG GEOGOGICAL SERVICES LLC,1,TX,MIDLAND,79707.0
DATALOGIC SOFTWARE INC,2,TX,HARLINGEN,78550.0
DATALOGIC USA INC,2,OR,EUGENE,97402.0
DATALOGICS INC,1,IL,CHICAGO,60606.0
DATALOGIX TEXAS INC,3,CA,HAYWARD,94544.0
DATALOOPZ LLC,1,TX,HOUSTON,77057.0
DATALOOPZ LLC DBA TECMEND,1,TX,HOUSTON,77057.0
DATALORE TECHNOLOGIES INC,29,CA,TRACY,95377.0
DATALYSYS LLC,5,OH,DUBLIN,43017.0
DATAMANTLE TECHNOLOGIES LLC,1,MO,CHESTERFIELD,63017.0
DATAMANUSA LLC,4,CO,ENGLEWOOD,80112.0
DATAMAP LLC,1,MO,KANSAS CITY,64108.0
DATAMARK INC,1,TX,EL PASO,79901.0
DATAMART SYSTEMS INC,8,NJ,HILLSBOROUGH,8844.0
DATAMATICS GLOBAL SERVICES INC,13,MI,LIVONIA,48150.0
DATAMATICS INC,3,GA,DULUTH,30096.0
DATAMATICS ROBOTICS SOFTWARE INC,2,MI,LIVONIA,48150.0
DATAMAX SOFTWARE GRP INC D/B/A RFG,2,CA,EL DORADO HILLS,95762.0
DATAMETICA SOLUTIONS INCORPORATED,9,IL,HIGHLAND PARK,60035.0
DATAMETRICS SOFTWARE SYSTEMS INC,9,NJ,PISCATAWAY,8854.0
DATAMINR INC,18,NY,NEW YORK,10016.0
DATAMTX LLC,1,GA,PEACHTREE COR,30071.0
DATANCHOR INC,2,OH,COLUMBUS,43215.0
DATANG CATERING GROUP,1,CA,LA CANADA FLINTRIDGE,91011.0
DATANORMUS LLC,25,NJ,ISELIN,8830.0
DATANUTTS IT SOLUTIONS INC,1,TX,GARLAND,75043.0
DATAONEZ LLC,3,VA,ASHBURN,20147.0
DATAPLUS PHARMA SERVICES INC,7,NJ,BRIDGEWATER,8807.0
DATAPRIME INC,1,VA,LEESBURG,20175.0
DATAQUAD INC,83,OK,TULSA,74119.0
DATAQUEST CORP,30,NJ,NORTH BRUNSWICK,8902.0
DATAREMOTE INC,1,FL,MIAMI,33157.0
DATAREVIVE USA LLC,9,MD,ROCKVILLE,20850.0
DATAROBOT INC,18,MA,BOSTON,2110.0
DATASCUD INC,13,TX,IRVING,75038.0
DATASEERS INC,3,GA,ALPHARETTA,30005.0
DATASEERS INCORPORATED,4,GA,ALPHARETTA,30005.0
DATASERV INC,8,NH,NASHUA,3062.0
DATASIRE LLC,6,VA,GLEN ALLEN,23059.0
DATASIRI LLC,1,NE,OMAHA,68135.0
DATASMART SOLUTIONS INC,1,IL,OAKBROOK,60523.0
DATASOFT GLOBAL LLC,10,MO,BALLWIN,63021.0
DATASOFT INC,9,MI,NOVI,48375.0
DATASOFT TECHNOLOGIES INC,3,SC,GREER,29650.0
DATASPARX LLC,8,GA,ALPHARETTA,30005.0
DATASSENTIAL INC,2,IL,CHICAGO,60603.0
DATASSURE CORP,1,CA,IRVINE,92614.0
DATASTACK TECHNOLOGIES LLC,14,DE,CLAYMONT,19703.0
DATASTAX INC,11,CA,SANTA CLARA,95054.0
DATASURE24 LLC,1,NY,BUFFALO,14202.0
DATASYCLE LLC,8,NJ,SOMERSET,8873.0
DATASYNC INC,26,VA,STERLING,20164.0
DATASYS CONSULTING SOFTWARE INC,7,NJ,PRINCETON,8540.0
DATATEK INC,5,VA,FAIRFAX,22033.0
DATATRON TECHNOLOGIES INC,1,CA,SAN FRANCISCO,94107.0
DATAVAIL CORPORATION,13,CO,BROOMFIELD,80021.0
DATAVANT INC,7,CA,SAN FRANCISCO,94111.0
DATAVEDIK LLC,1,TX,HOUSTON,77042.0
DATAVISION INC,1,NJ,FRENCHTOWN,8825.0
DATAVISOR INC,19,CA,MOUNTAIN VIEW,94043.0
DATAVOX INC,2,TX,HOUSTON,77072.0
DATAWALK INC,1,CA,REDWOOD CITY,94065.0
DATAWHEEL LLC,1,MA,CAMBRIDGE,2139.0
DATAWIN SYSTEMS INC,12,NJ,PISCATAWAY,8854.0
DATAWIZ CORPORATION,10,VA,MC LEAN,22102.0
DATAWIZA INC,1,CA,SANTA CLARA,95051.0
DATAX SYSTEMS LLC,1,NJ,DAYTON,8810.0
DATAYES INC,1,CA,SAN JOSE,95138.0
DATAZOIC INC,2,NY,NEW YORK,10173.0
DATEX-OHMEDA INC,3,CT,NORWALK,6851.0
DATIS HR CLOUD INC,5,FL,TAMPA,33602.0
DATOMETRY INC,1,CA,SAN FRANCISCO,94105.0
DATOS TECHNOLOGIES INC,1,SC,GREENVILLE,29615.0
DATRIUM INC,2,CA,SUNNYVALE,94089.0
DATSON360 LLC,27,FL,FORT LAUDERDALE,33319.0
DATTAPADA INC,1,CA,FREMONT,94539.0
DATTO INC,1,CT,NORWALK,6851.0
DATUM CONSULTING GROUP,5,IN,INDIANAPOLIS,46219.0
DATUM CONSULTING GROUP LLC,3,IN,INDIANAPOLIS,46219.0
DATUM ENGINEERS INC,3,TX,DALLAS,75235.0
DATUM RIOS LLC,2,TX,SAN ANTONIO,78215.0
DATUM SOFTWARE INC,7,GA,DULUTH,30097.0
DATUM SYSTEMS,1,AZ,MESA,85209.0
DATWANI MGT INC DBA DATWANI MGT,1,NJ,PARSIPPANY,7054.0
DATWYLER PHARMA PACKAGING USA INC,1,NJ,PENNSAUKEN,8110.0
DAUNTLESS INDUSTRIES INC,1,CA,COVINA,91724.0
DAVA ONCOLOGY LP,1,TX,PLANO,75075.0
DAVALOR MOLD COMPANY LLC,1,MI,CHESTERFIELD,48047.0
DAVE INC,4,CA,LOS ANGELES,90019.0
DAVE SCHMITT ENGINEERING INC,1,FL,ORLANDO,32828.0
DAVENPORT UNIVERSITY,2,MI,GRAND RAPIDS,49512.0
DAVID & RAYMOND PATENT FIRM,5,CA,MONTEREY PARK,91754.0
DAVID A STALKER MD PA,1,NM,CLOVIS,88101.0
DAVID ALLEN COMPANY INC,1,NC,RALEIGH,27603.0
DAVID BIRD INC DBA BIRDGROUP CONST,1,CA,RCH CUCAMONGA,91739.0
DAVID BOYLE A PROFESSIONAL CORP,1,CA,SANTA MONICA,90401.0
DAVID CONNER & ASSOCIATES INC,1,FL,TAMPA,33602.0
DAVID D. MCFADDEN DMD PA,2,TX,DALLAS,75209.0
DAVID E HARVEY BUILDERS INC DBA HA,1,TX,HOUSTON,77042.0
DAVID ENERGY SYSTEMS INC,3,NY,BROOKLYN,11211.0
DAVID EVANS AND ASSOCIATES INC,6,OR,PORTLAND,97201.0
DAVID J LONEY D/B/A WILLOWBROOK PR,1,NH,LEBANON,3766.0
DAVID L GATES & ASSOCIATES INC,1,CA,SAN RAMON,94583.0
DAVID LANG & ASSOCIATES,1,CA,EL MONTE,91731.0
DAVID LU CPA INC,1,CA,CERRITOS,90703.0
DAVID M LEWIS COMPANY LLC,1,CA,WOODLAND HLS,91364.0
DAVID MICHAEL DESIGNS LLC DBA EAST,1,NY,NEW YORK,10019.0
DAVID MOSNER INC,1,NY,BRONX,10474.0
DAVID MOSS & ASSOCIATES INC,1,CA,SANTA MONICA,90401.0
DAVID PEYSER SPORTSWEAR INC,3,NY,BAY SHORE,11706.0
DAVID RAINES COMMUNITY HLTH CTR IN,1,LA,SHREVEPORT,71107.0
DAVID SISSON ARCHITECTURE PC,2,RI,EAST PROVIDENCE,2914.0
DAVID SMOTRICH & PARTNERS LLP,1,NY,NEW YORK,10016.0
DAVID TURNER ARCHITECT PC,1,NY,NEW YORK,10001.0
DAVID W PICKARD JR INC,1,CA,WHITTIER,90602.0
DAVID WOOD AND ASSOCIATES INC DBA,1,CA,SAN FRANCISCO,94111.0
DAVID YADEGAR INC DBA SIMPLENGI EN,1,CA,BERKELEY,94704.0
DAVID ZWIRNER INC,1,NY,NEW YORK,10011.0
DAVIDOVICH AND ASSOCIATES,3,CA,SHERMAN OAKS,91403.0
DAVIDSON COLLEGE,1,NC,DAVIDSON,28035.0
DAVINCHI INC,3,CA,SAN JOSE,95124.0
DAVINCHI INC DBA EMPYREAN TECH,2,CA,SAN JOSE,95117.0
DAVINCI EP LLC,1,CO,DENVER,80202.0
DAVIS & ELKINS COLLEGE,1,WV,ELKINS,26241.0
DAVIS AVIATION INC DBA DAVIS AVIAT,1,MS,BRANDON,39047.0
DAVIS COLLEGE INC,1,OH,TOLEDO,43604.0
DAVIS COUNTY HOSPITAL,2,IA,BLOOMFIELD,52537.0
DAVIS HARRISON DION INC,1,IL,CHICAGO,60601.0
DAVIS INSTRUMENTS CORPORATION,1,CA,HAYWARD,94545.0
"DAVIS KANE ARCHITECTS, PA",1,NC,RALEIGH,27605.0
DAVIS MEMORIAL HOSPITAL D/H/A DAVIS MEDICAL CENTER,1,WV,ELKINS,26241.0
DAVIS POLK & WARDWELL LLP,38,NY,NEW YORK,10017.0
DAVIS POLK WARDWELL LLP,23,NY,NEW YORK,10017.0
DAVIS SCHOOL DISTRICT,24,UT,FARMINGTON,84025.0
DAVIS VISION INC,1,TX,SAN ANTONIO,78205.0
DAVIS WARD & HOCHMAN LLC,1,NY,NEW YORK,10155.0
DAVIS WRIGHT TREMAINE LLP,1,WA,SEATTLE,98104.0
DAVITA INC,15,IL,VERNON HILLS,60061.0
DAWN FOOD PRODUCTS INC,1,MI,JACKSON,49201.0
DAWN SCIENTIFIC INC,1,NJ,METUCHEN,8840.0
DAWNLIGHT TECHNOLOGIES INC,1,CA,PALO ALTO,94304.0
DAWSON COUNTY HOSPITAL DISTRICT,3,TX,LAMESA,79331.0
DAWSON GERBIC LLP,1,WA,SEATTLE,98107.0
DAX INTL BROKERS INC,1,FL,MIAMI,33166.0
DAX SOFTWARE SOLUTIONS INC,5,CA,WOODLAND HILLS,91367.0
DAX SOFTWARE SOLUTIONS INC DBA,1,CA,WOODLAND HLS,91367.0
DAX SOFTWARE SOLUTIONS INC DBA SHR,1,CA,CHATSWORTH,91311.0
DAX SOFTWARE SOLUTIONS INC DBA SHREEMTECH,1,CA,WOODLAND HILLS,91367.0
"DAX SOFTWARE SOLUTIONS, INC.",3,CA,CHATSWORTH,91311.0
DAXKO LLC,1,AL,BIRMINGHAM,35209.0
"DAXKO, LLC",1,AL,BIRMINGHAM,35209.0
DAY FOR NITE LLC,1,CA,LOS ANGELES,90068.0
DAY KIMBALL MEDICAL GROUP INC,3,CT,PUTNAM,6260.0
DAY KIMBALL MEDICAL GRP INC,1,CT,PUTNAM,6260.0
DAY PITNEY LLP,1,CT,HARTFORD,6103.0
DAY ZERO DIAGNOSTICS INC,4,MA,ALLSTON,2134.0
DAYBREAK INSTALL LLC,1,FL,PALM BAY,32905.0
DAYBREAK UNIVERSITY INC,1,CA,ANAHEIM,92806.0
DAYCO PRODUCTS LLC,1,MI,TROY,48083.0
DAYE NORTH AMERICA INC,1,NC,CHARLOTTE,28217.0
DAYLIGHT TRANSPORT LLC,1,CA,LONG BEACH,90810.0
"DAYLIGHT TRANSPORT, LLC",1,CA,CYPRESS,90630.0
DAYMARK ENERGY ADVISORS INC,6,MA,WORCESTER,1608.0
DAYTON CHILDREN S SPECIALTY PHYSIC,3,OH,DAYTON,45404.0
DAYTON CHILDREN S SPECIALTY PHYSICIANS INC,1,OH,DAYTON,45404.0
DAYTON CHILDRENS HOSPITAL,1,OH,DAYTON,45404.0
DAYTON INDEPENDENT SCHOOL DISTRICT,11,TX,DAYTON,77535.0
DAYTON OSTHEOPATIC HOSPITAL D/B/A,1,OH,MIAMISBURG,45342.0
DAYTON OSTHEOPATIC HOSPITAL DBA KETTERING HEALTH DAYTON,2,OH,MIAMISBURG,45342.0
DAYTOWN REALTY LLC,1,TX,SUGAR LAND,77478.0
DAYZERO SOFTWARE INC,1,NY,NEW YORK,10001.0
DAZONE LLC,1,CA,ONTARIO,91761.0
DAZZLON COMPUTER SERVICES INC,57,TX,MCKINNEY,75069.0
DB ENGINEERING LLC,1,IN,INDIANAPOLIS,46204.0
DB GLOBAL TECHNOLOGY INC,19,NC,CARY,27513.0
DB MEDICAL SUPPLIES INC DBA CARE P,1,NY,BRONX,10459.0
DB USA CORE CORPORATION,71,NY,NEW YORK,10005.0
DBA ARCHIWEST DESIGN GROUP,1,CA,EL MONTE,91731.0
DBB ARCHITECTURE PC,1,NY,WHITE PLAINS,10601.0
DBF TECHNOLOGIES INC,1,CA,LOS ANGELES,90066.0
DBI CONSTRUCTION CONSULTANTS LLC,1,NY,NEW YORK,10001.0
DBM MGT CORP DBA COSMETIC,1,NY,BROOKLYN,11209.0
DBOX INC,2,NY,NEW YORK,10038.0
DBRS INC,2,IL,CHICAGO,60602.0
DBRS MORNINGSTAR INC,4,IL,CHICAGO,60602.0
DBSPECTRA INC,3,TX,LEWISVILLE,75056.0
DBT AND EMDR SPECIALISTS,1,MN,PLYMOUTH,55441.0
DBT HOLDINGS LLC DBA DEUTSCHE BEVE,1,NC,CHARLOTTE,28217.0
DC 001 INC DBA SPARTAN RADAR,1,CA,LOS ALAMITOS,90720.0
DC BARS INC,1,FL,DELRAY BEACH,33446.0
DC BILINGUAL PUBLIC CHARTER SCHOOL,7,DC,WASHINGTON,20011.0
DC GROUP INC,17,MN,MINNEAPOLIS,55411.0
DC INTEGRATE INC,2,CA,WALNUT,91789.0
DC LOCKER INC,1,CA,WALNUT,91789.0
DC PRECISION LLC,1,CA,SANTA ANA,92705.0
DC SOCCER LLC,1,DC,WASHINGTON,20024.0
DC YOUTH FUTBOL CLUB,1,DC,WASHINGTON,20015.0
DC09 LLC,1,DC,WASHINGTON,20003.0
DC3 THERAPEUTICS LLC,1,CA,SOUTH SAN FRANCISCO,94080.0
DCCCA1 INC,1,CA,OAKLAND,94621.0
DCI CONSULTING GROUP INC,1,DC,WASHINGTON,20006.0
DCI LLC DBA DCI INVESTMENT MANAGEM,1,CA,SAN FRANCISCO,94105.0
DCLIMATE INC,3,MO,MARYLAND HTS,63043.0
DCM INFOTECH LIMITED,2,CA,FREMONT,94538.0
DCM LIMITED DBA DCM DATA SYSTEMS,1,CA,FREMONT,94538.0
DCP SERVICES LLC,2,CO,DENVER,80202.0
DCP360 INC DBA SAVEDAY,1,TX,AUSTIN,78747.0
DCR LOAN SERVICING LLC,1,FL,ST PETERSBURG,33701.0
DCS ENGINEERING LLC,1,TX,AUSTIN,78746.0
DCS SOLUTIONS CORPORATION,3,PA,ALLENTOWN,18104.0
DCS SYSTEMS INC,2,NY,HOLLIS,11423.0
DCUBE DATA SCIENCES CORPORATION,1,CA,IRVINE,92618.0
DCUBE SOLUTIONS INC,18,NC,MORRISVILLE,27560.0
DD DANNAR LLC,4,IN,MUNCIE,47304.0
DD HOLDINGS US INC,1,CA,LOS ANGELES,90066.0
DD PHARMACY INC DBA LEROY PHARMACY,1,NY,BRONX,10462.0
DD&B CONSTRUCTION INC,3,MD,GAITHERSBURG,20878.0
DDB CHICAGO INC,2,IL,CHICAGO,60601.0
DDB HEALTH NEW YORK LLC,1,NY,NEW YORK,10014.0
DDC ADVOCACY LLC D/B/A DDC PUBLIC,1,DC,WASHINGTON,20005.0
DDC ADVOCACY LLC DBA DDC PUBLIC,1,DC,WASHINGTON,20005.0
DDC ADVOCACY LLC DBA DDC PUBLIC AF,1,DC,WASHINGTON,20005.0
DDC GROUP INC,1,CA,LOS ANGELES,90071.0
DDC TECHNOLOGIES INC,1,NY,OCEANSIDE,11572.0
DDG CONSTRUCTION INC,1,TX,IRVING,75038.0
DDH NORTH AMERICA INC,1,TX,PEARLAND,77584.0
DDL INC,1,MN,EDEN PRAIRIE,55344.0
DDM SYSTEMS INC,1,GA,ATLANTA,30318.0
DDP SPECIALTY ELECTRONIC MATERIALS,1,DE,WILMINGTON,19805.0
"DDP SPECIALTY ELECTRONIC MATERIALS US, LLC",2,DE,WILMINGTON,19805.0
DE AMERTEK CORPORATION INC,1,IL,LOMBARD,60148.0
DE ANZA BLDG & MAINTENANCE INC,1,CA,LOS ALTOS,94022.0
DE GROOT BRIL EARTH SCIENCES USA LLC,1,TX,SUGAR LAND,77478.0
DE LA FUENTE CONSTRUCTION INC,1,CA,NATIONAL CITY,91950.0
DE MAXIMIS DATA MANAGEMENT SOLUTIONS INC,2,TN,KNOXVILLE,37919.0
DE NORA TECH LLC,1,OH,PAINESVILLE,44077.0
DE NOVO SOFTWARE INC,1,CA,PASADENA,91107.0
DE SOTO AREA SCHOOL DISTRICT,1,WI,DE SOTO,54624.0
DE WELL CONTAINER SHIPPING INC,2,CA,BELL,90201.0
DE Z FANG ARCHITECT PC,1,NY,FLUSHING,11354.0
DE ZAVALA DENTISTRY AND ORTHODONTICS PLLC,1,TX,SAN ANTONIO,78249.0
DEACON CONSTRUCTION LLC,1,CA,CITRUS HTS,95610.0
DEACONESS CLINIC INC,2,IN,EVANSVILLE,47710.0
DEACONESS HOSPITAL INC,2,IN,EVANSVILLE,47710.0
DEACONESS SPECIALTY PHYSICIANS INC,3,IN,EVANSVILLE,47747.0
DEADSTOCK LLC,1,CA,REDLANDS,92374.0
DEAF SMITH COUNTY HOSPITAL DISTRIC,2,TX,HEREFORD,79045.0
DEAGO INC,1,CA,ROWLAND HEIGHTS,91748.0
DEAL SAVINGS LLC,1,CA,ROWLAND HEIGHTS,91748.0
DEALER OWNED WARRANTY COMPANY LLC,1,NJ,RINGWOOD,7456.0
DEALERSHIP ADVANTAGE LLC,1,MI,GRAND RAPIDS,49504.0
DEALERSOCKET INC,3,TX,IRVING,75039.0
DEALLUS CONSULTING INC,4,NY,NEW YORK,10018.0
DEAN FOODS COMPANY,1,TX,DALLAS,75204.0
DEAN HEALTH PLAN INC,1,WI,MADISON,53717.0
DEAN MCGEE EYE INSTITUTE,1,OK,OKLAHOMA CITY,73104.0
DEAN SAKAMOTO ARCHITECTS LLC,1,HI,HONOLULU,96817.0
DEARBORN FAMILY SMILES PLLC,1,MI,DEARBORN,48126.0
DEARBORN MID WEST COMPANY LLC,2,MI,TAYLOR,48180.0
DEARCH ARCHITECTURE PC,1,NY,NEW YORK,10018.0
DEBEVOISE & PLIMPTON LLP,11,NY,NEW YORK,10022.0
DEBEVOISE PLIMPTON LLP,10,NY,NEW YORK,10022.0
DEBIAN SYSTEMS INC,9,TX,DALLAS,75240.0
DEBOO COMMUNICATIONS INC,1,CA,SACRAMENTO,95819.0
DEBORAH BRADLEY CONSTRUCTION & MGT,1,NY,NEW YORK,10027.0
DEBORAH BRADLEY CONSTRUCTION MANAGEMENT SERVICES INC,1,NY,NEW YORK,10027.0
DEBORAH WEESELMAN DESIGN INC,1,FL,MIAMI,33138.0
DEBRAIN LLC,1,NY,BROOKLYN,11249.0
DEBT PAY INC,1,IL,SCHAUMBURG,60173.0
DEBUTEA INC,2,NY,NEW YORK,10012.0
DECA ARCHITECTURE INC,1,OR,PORTLAND,97214.0
DECALOGUE INC,15,MD,CLARKSBURG,20871.0
DECATUR 2012 LLC,1,IL,SCHAUMBURG,60173.0
DECATUR HEALTH SYSTEMS INC,1,KS,OBERLIN,67749.0
DECATUR HLTH SYSTEMS INC,1,KS,OBERLIN,67749.0
DECATUR MEMORIAL HOSPITAL,4,IL,DECATUR,62526.0
DECCAN INTERNATIONAL,9,CA,SAN DIEGO,92121.0
DECENTRALIZED FINANCE LABS INC,1,CA,MILPITAS,95035.0
DECHEN CONSULTING GROUP INC,28,MI,FARMINGTON,48335.0
DECHERT LLP,17,NY,NEW YORK,10036.0
DECIBEL THERAPEUTICS INC,2,MA,BOSTON,2215.0
DECIBEL18 LLC DBA VIRGIL QUANTITAT,1,NY,NEW YORK,10038.0
DECIDE4ACTION SC INC,3,SC,GREENVILLE,29615.0
DECILE LLC,1,VA,ARLINGTON,22209.0
DECIMAL HEALTH LLC,4,CA,FAIRFIELD,94534.0
DECIPHER SOFTWARE SOLUTIONS LLC,4,FL,CLEARWATER,33762.0
DECIPHERA PHARMACEUTICALS LLC,3,MA,WALTHAM,2451.0
DECISION ANALYST INC,1,TX,ARLINGTON,76011.0
"DECISION ECONOMICS, INC.",1,MA,BOSTON,2109.0
DECISION MINDS INC,10,CA,MILPITAS,95035.0
DECISION RESEARCH CORPORATION,3,HI,HONOLULU,96814.0
DECISION RESOURCES INC,1,PA,PITTSBURGH,15222.0
DECISION RESOURCES LLC,8,MA,BURLINGTON,1803.0
DECISION SIX INC,53,PA,NEWTOWN SQ,19073.0
DECISION SUPPORT SYSTEMS LP D/B/A,1,TX,FORT WORTH,76109.0
DECISIONS LLC,1,VA,VIRGINIA BEACH,23462.0
DECITECH CONSULTING INC,5,CA,FREMONT,94538.0
DECKARD TECHNOLOGIES INC,1,CA,LA JOLLA,92037.0
DECKERS OUTDOOR CORP,3,CA,GOLETA,93117.0
DECKERS OUTDOOR CORPORATION,10,CA,GOLETA,93117.0
DECKERVILLE COMMUNITY HOSPITAL,1,MI,DECKERVILLE,48427.0
DECKHOUSE INC,2,TX,HOUSTON,77013.0
DECKROBOT INC,1,CA,SAN FRANCISCO,94107.0
DECODE DATA INC.,1,CA,LOS ANGELES,90010.0
DECODED ADVERTISING LLC,2,NY,NEW YORK,10005.0
DECON LLC,2,TX,HOUSTON,77018.0
DECOODA INTERNATIONAL INC,1,GA,BROOKHAVEN,30319.0
DECORATIVE FLOORING LLC,1,TX,STAFFORD,77477.0
DECORMATTERS INC,3,CA,MILPITAS,95035.0
DECORSTANDARD CORP,2,NJ,BERGENFIELD,7621.0
DECOSTAR INDUSTRIES INC,1,GA,CARROLLTON,30117.0
DECOVITA USA INC,1,VA,STERLING,20166.0
DECUSOFT INC,1,NJ,RAMSEY,7446.0
